#,License Plate,Created At,Pickup Date,Return Date,Total Days,Odometer at Pickup,Odometer at Return
31516,A15915,12/25/2021 ,01/08/2022 ,01/08/2022 ,0,12140.0,12155.0
31671,633XRA,12/26/2021 ,12/26/2021 ,01/02/2022 ,7,21.0,298.0
31698,a20425,12/26/2021 ,02/28/2022 ,02/28/2022 ,0,609.0,707.0
31735,A19417,12/26/2021 ,12/26/2021 ,01/02/2022 ,7,7048.0,7101.0
31787,a17493,12/26/2021 ,01/10/2022 ,01/10/2022 ,0,45648.0,47180.0
31788,a17492,12/26/2021 ,01/10/2022 ,01/10/2022 ,0,4874.0,4906.0
31789,A17986,12/26/2021 ,01/10/2022 ,01/10/2022 ,0,3490.0,3611.0
31811,abc8120,12/27/2021 ,01/02/2022 ,01/02/2022 ,0,10753.0,10769.0
31812,a09541,12/27/2021 ,01/02/2022 ,01/02/2022 ,0,23425.0,23469.0
31813,a11000,12/27/2021 ,01/02/2022 ,01/02/2022 ,0,11305.0,11306.0
31966,b-682022,12/28/2021 ,12/28/2021 ,01/04/2022 ,7,45.0,151.0
31974,A17575,12/28/2021 ,02/21/2022 ,02/21/2022 ,0,5170.0,5297.0
31975,A20186,12/28/2021 ,02/21/2022 ,02/21/2022 ,0,814.0,922.0
31976,A20263,12/28/2021 ,02/21/2022 ,02/21/2022 ,0,457.0,529.0
31977,A20662,12/28/2021 ,02/21/2022 ,02/21/2022 ,0,30.0,30.0
32001,A17494,12/28/2021 ,02/09/2022 ,02/09/2022 ,0,5700.0,5803.0
32002,A17396,12/28/2021 ,02/09/2022 ,02/09/2022 ,0,5836.0,5933.0
32043,D78007,12/28/2021 ,04/07/2022 ,04/10/2022 ,3,0.0,0.0
32054,A18129,12/28/2021 ,12/29/2021 ,01/05/2022 ,7,0.0,113.0
32055,A19229,12/28/2021 ,12/29/2021 ,01/05/2022 ,7,6950.0,6980.0
32059,A19400,12/28/2021 ,12/29/2021 ,01/05/2022 ,7,7390.0,7581.0
32084,A17008,12/29/2021 ,02/03/2022 ,02/03/2022 ,0,5840.0,5949.0
32085,A17400,12/29/2021 ,02/03/2022 ,02/03/2022 ,0,53341.0,53431.0
