,,Pickup Date,count,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/20/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
,,3/19/2022,1,,,
